episode,step,x,y
3.00,33.00,460.82,197.95
3.00,34.00,479.82,181.71
3.00,35.00,462.14,164.03
3.00,36.00,469.64,140.18
3.00,37.00,448.70,153.85
3.00,38.00,427.49,140.62
3.00,39.00,451.46,133.54
3.00,40.00,469.14,151.22
3.00,41.00,493.90,154.71
3.00,42.00,486.44,178.57
3.00,43.00,466.14,163.97
3.00,44.00,490.86,167.73
3.00,45.00,478.47,189.44
3.00,46.00,487.21,212.86
3.00,47.00,511.65,218.16
3.00,48.00,513.44,243.10
3.00,49.00,529.25,223.73
3.00,50.00,547.34,206.49
3.00,51.00,567.16,191.24
3.00,52.00,568.03,166.26
3.00,53.00,565.80,191.16
3.00,54.00,579.84,170.47
3.00,55.00,604.28,175.77
3.00,56.00,626.29,187.63
3.00,57.00,645.39,171.51
3.00,58.00,620.83,166.85
3.00,59.00,624.76,142.17
3.00,60.00,649.76,141.60
3.00,61.00,659.22,118.46
3.00,62.00,637.25,106.54
3.00,63.00,619.04,89.41
3.00,64.00,632.29,68.20
3.00,65.00,647.97,87.67
3.00,66.00,670.14,99.23
3.00,67.00,686.00,118.55
3.00,68.00,710.98,117.48
3.00,69.00,729.10,134.70
3.00,70.00,740.64,156.88
3.00,71.00,752.05,179.12
3.00,72.00,751.62,154.13
3.00,73.00,769.30,171.80
3.00,74.00,793.76,166.62
3.00,75.00,811.44,184.30
3.00,76.00,825.83,204.74
3.00,77.00,847.49,217.23
3.00,78.00,866.31,200.77
3.00,79.00,891.27,199.31
3.00,80.00,911.79,185.04
3.00,81.00,929.47,202.72
3.00,82.00,947.15,220.40
3.00,83.00,955.99,243.78
3.00,84.00,980.23,237.66
3.00,85.00,989.83,260.74
3.00,86.00,965.21,256.39
3.00,87.00,982.89,274.07
3.00,88.00,999.18,255.10
3.00,89.00,1000.00,237.43
3.00,90.00,1000.00,255.10
3.00,91.00,1000.00,258.95
3.00,92.00,1000.00,239.40
3.00,93.00,1000.00,262.22
3.00,94.00,982.32,279.90
3.00,95.00,997.93,299.43
3.00,96.00,1000.00,316.09
3.00,97.00,1000.00,333.77
3.00,98.00,994.87,358.24
3.00,99.00,1000.00,382.21
3.00,100.00,1000.00,381.88
4.00,1.00,41.58,216.90
4.00,2.00,63.90,205.63
4.00,3.00,46.94,224.01
4.00,4.00,67.82,210.25
4.00,5.00,91.63,202.63
4.00,6.00,115.69,195.82
4.00,7.00,90.99,199.72
4.00,8.00,96.99,223.99
4.00,9.00,121.04,230.82
4.00,10.00,127.52,206.67
4.00,11.00,125.12,181.79
4.00,12.00,147.64,170.93
4.00,13.00,172.57,172.75
4.00,14.00,194.43,184.89
4.00,15.00,212.11,202.57
4.00,16.00,229.78,220.25
4.00,17.00,254.69,218.14
4.00,18.00,275.68,204.55
4.00,19.00,251.68,197.54
4.00,20.00,272.93,184.37
4.00,21.00,290.61,166.70
4.00,22.00,306.32,186.14
4.00,23.00,324.00,203.81
4.00,24.00,343.63,188.33
4.00,25.00,367.43,180.68
4.00,26.00,385.69,163.61
